Language,What roles do you play in your project? (mark all that apply),"Among the roles you play, which one do you consider to be your main role?",How long have you been working on this project? ,Which country did you spend the most time in during your participation in this project?,How many commits did you contribute to the project? ,What is your sex?,What is your educational background (highest degree obtained)?,What is your experience (in years) working in software development?,Were you familiar with the presented description of Technical Debt before this questionnaire?,For what reasons did you commonly modify code in the project? (mark all that apply),How often do you introduce technical debt?,For what reasons have you introduced technical debt? (mark all that apply),How often do you repay your own technical debt?,For what reasons do you repay your own technical debt?,Do you recall **noticing** TD? Please respond per TD type [Code Debt],Do you recall **noticing** TD? Please respond per TD type [Defect Debt],Do you recall **noticing** TD? Please respond per TD type [Design Debt],Do you recall **noticing** TD? Please respond per TD type [Documentation Debt],Do you recall **noticing** TD? Please respond per TD type [Test Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Code Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Defect Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Design Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Documentation Debt],Do you recall **repaying TD that you introduced yourself**? Please respond per TD type [Test Debt]
Java,"Developer (incl. Software Engineer), Team Lead, Scrum Master, Software Architect, Project Manager",Team Lead,3-5 years,The Netherlands,more than 500 commits,Male,MSc,5+,Yes,"New feature, Refactoring",On a regular basis,Deadline; Inappropriate planning; Lack of well-defined process; Lack of commitment to the project; Team overload,On a regular basis,TD overload;Improve efficiency;Improve stability;Improve scalability,Definetely yes,Definetely yes,Probably yes,I am not sure,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United States,50-100 commits,Male,MSc,5,No,Bug fixing;New feature;Refactoring,Almost never,I am not aware that I introduce technical debt,Almost never,,Probably not,Probably not,I am not sure,Probably yes,Probably yes,Probably not,Probably not,Probably not,Probably yes,Probably yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,India,Less than 10 commits,Female,BSc,1,Yes,Bug fixing;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Lack of well-defined process,On a regular basis,Improve maintainability;Improve testing;Improve usability;Improve scalability,I am not sure,I am not sure,I am not sure,Definetely yes,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Java,Developer (incl. Software Engineer);Software Architect;Product Owner,Developer (incl. Software Engineer),More than 5 years,Belgium,more than 500 commits,Male,BSc,21,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Team overload,On a regular basis,Avoid higher cost,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer);DevOps,DevOps,1-2 years,Poland,200-500 commits,Male,MSc,10,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Lack of well-defined process;Lack of experience;Lack of commitment to the project,On a regular basis,Clean code,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,USA,Less than 10 commits,Male,BSc,5,Yes,Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of qualified professionals that can manage techinical debt;Lack of experience;Outdated or incomplete documentation;I am not aware that I introduce technical debt,On a regular basis,Improve efficiency,Definetely yes,I am not sure,Probably yes,Probably yes,Probably not,Definetely yes,Definetely yes,I am not sure,Definetely yes,Probably not
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance),Developer (incl. Software Engineer),More than 5 years,Spain,more than 500 commits,Male,PhD,24,Yes,Bug fixing;New feature;Refactoring,Almost never,Inappropriate planning;Non-adoption of good practice;Outdated or incomplete documentation,Never,,Probably yes,Probably yes,Definetely yes,I am not sure,Probably yes,Probably not,Probably not,Probably not,Probably not,Probably not
Java,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),1-2 years,Germany,100-200 commits,Male,MSc,20,Yes,Refactoring,Never,I am not aware that I introduce technical debt,Always,Sense of responsibility,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,I am not sure,I am not sure,I am not sure,Definetely yes,I am not sure
Java,Developer (incl. Software Engineer);Team Lead,Developer (incl. Software Engineer),3-5 years,The Netherlands,more than 500 commits,Male,BSc,10,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Team overload;Workload balance,Always,Avoid higher cost,Probably yes,Probably not,Probably yes,I am not sure,Probably not,Probably yes,I am not sure,Probably yes,I am not sure,Probably yes
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);data scientist,data scientist,3-5 years,United States of America,10-30 commits,Female,PhD,5,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Lack of experience;Team overload,On a regular basis,Improve collaboration;Improve efficiency,Definetely yes,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably not
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,United States,more than 500 commits,Male,BSc,5,Yes,"Bug fixing, New feature, Refactoring",Almost never,Deadline; Inappropriate planning; Lack of well-defined process,On a regular basis,Sense of responsibility,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,India,Less than 10 commits,Male,BTech in Computer Science,3+ Years,Yes,Refactoring,On a regular basis,Deadline; Lack of well-defined process,On a regular basis,Having enough time;Clean code,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Definetely yes,Definetely yes,Probably not,Probably yes,I am not sure
Java,"Developer (incl. Software Engineer), Team Lead, Software Architect",Developer (incl. Software Engineer),1-2 years,Brazil,more than 500 commits,Male,BSc,7,Somewhat,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential",Deadline; Lack of well-defined process; Non-adoption of good practice; Lack of experience,On a regular basis,Improve readability;Improve maintainability;Prepare for new features,Definetely yes,Probably yes,Definetely yes,Definetely not,I am not sure,Definetely yes,Definetely yes,Definetely yes,Definetely not,I am not sure
Java,"Developer (incl. Software Engineer), Software Architect",Software Architect,3-5 years,United Kingdom,more than 500 commits,Male,MSc,13,Yes,"Bug fixing, New feature, Refactoring","Sometimes, when it is absolutely essential",Deadline; Not effective project management; Outdated or incomplete documentation; Team overload,"Sometimes, when it is absolutely essential",Improve maintainability;Prepare for new features;Improve collaboration,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead;Software Architect,Developer (incl. Software Engineer),More than 5 years,CZE,200-500 commits,Male,MSc,.,Somewhat,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of experience;Outdated or incomplete documentation,"Sometimes, when it is absolutely essential",,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Probably yes,I am not sure,Probably not,I am not sure,Probably not
Java,Developer (incl. Software Engineer);Team Lead;Software Architect;Product Owner;Engineering Manager,Engineering Manager,3-5 years,Canada,more than 500 commits,Male,MSc,15,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Lack of well-defined process;Non-adoption of good practice;Lack of commitment to the project;Team overload,"Sometimes, when it is absolutely essential",Prepare for new features,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Team Lead;Software Architect,Software Architect,1-2 years,Argentina,50-100 commits,Male,MSc,20,Yes,Bug fixing;New feature,On a regular basis,Deadline;Team overload,On a regular basis,Sense of responsibility;Avoid higher cost,Probably yes,Probably yes,I am not sure,Definetely yes,I am not sure,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,"Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Team Lead;Software Architect;Support, answering queries",Developer (incl. Software Engineer),More than 5 years,UK,50-100 commits,I prefer not to answer,BSc,20+,Yes,Bug fixing;New feature,Almost never,Not effective project management;Lack of experience;I am not aware that I introduce technical debt,Almost never,Achieve new requirements,Definetely yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Probably not,Probably not,Probably not,Probably not,I am not sure
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,United States,100-200 commits,Male,BSc,10,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Lack of well-defined process;Non-adoption of good practice,On a regular basis,Avoid higher cost,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably yes,Probably yes,I am not sure,Probably not,Probably not
Java,Developer (incl. Software Engineer);Team Lead;CI/CD DevOps,Developer (incl. Software Engineer),3-5 years,USA,200-500 commits,Male,MSc,14,Yes,Bug fixing;New feature,On a regular basis,Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Outdated or incomplete documentation;Team overload,Almost never,,I am not sure,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Definetely yes,Probably not,Definetely not,Definetely not
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),3-5 years,Denmark,more than 500 commits,Male,Computer Science,7,Yes,Bug fixing;New feature;Refactoring,Always,TD introduction is inevitable,On a regular basis,Improve security;Improve maintainability,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer);Software Architect,Developer (incl. Software Engineer),3-5 years,italy,50-100 commits,Male,MSc,10,Yes,Bug fixing;New feature;Refactoring,On a regular basis,Lack of experience;Workload balance,On a regular basis,Avoid higher cost,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,PhD candidate,Online contributor,1-2 years,Canada,Less than 10 commits,Male,MSc,12,Yes,Documentation fixes/additions,Almost never,Lack of well-defined process;Lack of experience;Outdated or incomplete documentation,I don't know,Improve maintainability,Probably not,Probably not,Probably not,Probably yes,Probably not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);Software Architect;Project Manager;Product Owner;scientist,scientist,1-2 years,Italy,50-100 commits,Male,PhD,0,Yes,Bug fixing;New feature,On a regular basis,Deadline;Lack of well-defined process;Non-adoption of good practice;Lack of experience;Team overload,On a regular basis,Sense of responsibility,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Contributor,Contributor,More than 5 years,USA,Less than 10 commits,Male,PhD,15,Yes,Bug fixing,I don't know,Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of qualified professionals that can manage techinical debt;Lack of experience;Outdated or incomplete documentation;Lack of commitment to the project;Team overload,"Sometimes, when it is absolutely essential",Improve collaboration,Probably yes,Probably yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Brazil,Less than 10 commits,Male,BSc,4 years,Somewhat,Documentation and tests,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of experience;Lack of commitment to the project,On a regular basis,Improve maintainability,Probably not,Probably not,Probably not,Probably not,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Team Lead,Data Scientist,Less than 1 year,England,Less than 10 commits,Male,MSc,6,Yes,Bug fixing,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Not effective project management;Lack of experience;Outdated or incomplete documentation;Lack of commitment to the project;Team overload,Almost never,Avoid higher cost,Probably not,Definetely not,I am not sure,Definetely yes,Probably not,Definetely yes,I am not sure,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Ireland,Less than 10 commits,Male,MSc,6,Yes,Bug fixing;Refactoring,On a regular basis,Lack of well-defined process;Lack of qualified professionals that can manage techinical debt;Lack of commitment to the project,"Sometimes, when it is absolutely essential",Having enough time,Probably yes,Probably yes,I am not sure,Definetely yes,Definetely yes,Probably not,Definetely not,Definetely not,Probably yes,Definetely yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United Kingdom,Less than 10 commits,Male,MSc,3,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Non-adoption of good practice;Outdated or incomplete documentation,On a regular basis,Improve maintainability;Avoid higher cost,Probably yes,Definetely yes,Probably yes,Definetely yes,Probably yes,Probably yes,Probably not,I am not sure,Probably not,Probably yes
Python,occasional contributor,N/A,More than 5 years,USA,Less than 10 commits,Male,PhD,"5 years, very little commitment / year",No,New feature,Almost never,I am not aware that I introduce technical debt,Always,Request,I am not sure,Probably not,Probably yes,Probably not,Probably not,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,USA,Less than 10 commits,Male,BSc,15,Yes,Bug fixing;New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Not effective project management;Lack of experience;Outdated or incomplete documentation;Lack of commitment to the project;Team overload;I am not aware that I introduce technical debt,On a regular basis,Experience and knowledge increased,Definetely yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Developer (incl. Software Engineer),Less than 1 year,Russia,Less than 10 commits,Female,MSc,15,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of well-defined process;Non-adoption of good practice;Not effective project management;Lack of qualified professionals that can manage techinical debt;Outdated or incomplete documentation;Lack of commitment to the project;Team overload,"Sometimes, when it is absolutely essential",Improve maintainability,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably not,Probably yes,Probably yes,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,Canada,Less than 10 commits,Male,PhD,14,Yes,New feature,"Sometimes, when it is absolutely essential",Lack of qualified professionals that can manage techinical debt;Lack of commitment to the project,"Sometimes, when it is absolutely essential",Clean code;Avoid higher cost,Probably not,Probably not,I am not sure,Probably not,Probably not,Probably not,Probably not,Probably yes,I am not sure,Probably not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,USA,Less than 10 commits,Male,PhD,10,Yes,New feature,Never,I am not aware that I introduce technical debt,On a regular basis,Improve maintainability,Probably yes,Probably not,I am not sure,Probably not,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,France,10-30 commits,Male,MSc,3,Yes,Bug fixing;New feature;Refactoring,Never,I am not aware that I introduce technical debt,Never,Sense of responsibility,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Tester (incl. Quality Assurance),Tester (incl. Quality Assurance),Less than 1 year,Indonesia,10-30 commits,Male,BSc,0,No,Bug fixing,Almost never,Lack of experience,On a regular basis,Fix bugs,Definetely yes,Probably yes,Probably yes,Definetely not,Probably not,Probably not,Probably not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,,Less than 10 commits,I prefer not to answer,PhD,5,Somewhat,New feature,On a regular basis,Inappropriate planning;Lack of well-defined process,"Sometimes, when it is absolutely essential",,I am not sure,I am not sure,I am not sure,Probably yes,Probably yes,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Java,Developer (incl. Software Engineer);Software Architect;Project Manager,Developer (incl. Software Engineer),More than 5 years,,200-500 commits,Male,BSc,8,Yes,Bug fixing;New feature,I don't know,Team overload;I am not aware that I introduce technical debt;Deadline,"Sometimes, when it is absolutely essential",Having enough time;Avoid higher cost,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably not,Definetely yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),More than 5 years,Germany,more than 500 commits,Male,BSc,20,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Deadline;Team overload;Deadline,On a regular basis,Avoid higher cost,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,I am not sure,Probably yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Sweden,Less than 10 commits,Male,High School,2,Yes,New feature;Refactoring,"Sometimes, when it is absolutely essential",Outdated or incomplete documentation;Lack of commitment to the project,On a regular basis,Improve maintainability,Probably yes,I am not sure,Probably yes,Definetely yes,I am not sure,Probably not,Probably not,Probably not,Probably not,Probably not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,United States,Less than 10 commits,Male,BSc,6 years,Yes,Open [starter] issue in github,I don't know,Deadline;Inappropriate planning;Outdated or incomplete documentation;Lack of experience,On a regular basis,Sense of responsibility;Improve collaboration,Probably not,Probably not,Probably not,Probably not,Probably not,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Contributor,Contributor,Less than 1 year,Germany,Less than 10 commits,Male,MSc,6,Yes,Updated documentation,Never,I am not aware that I introduce technical debt,Never,Sense of responsibility,Definetely yes,Probably yes,I am not sure,Probably yes,Probably not,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Team Lead,3-5 years,Brazil,more than 500 commits,Male,high school,15,Yes,Bug fixing;New feature;Refactoring;naming,On a regular basis,Lack of qualified professionals that can manage techinical debt;Team overload;Experimentation with new technology,Always,Refactoring,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,I am not sure,Probably yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,Slovakia,10-30 commits,Male,MSc,6,Yes,Bug fixing;New feature,Almost never,I am not aware that I introduce technical debt,On a regular basis,Improve maintainability,Probably yes,I am not sure,Probably yes,Probably yes,Probably yes,Probably not,Probably yes,I am not sure,I am not sure,Probably yes
Java,Developer (incl. Software Engineer);Team Lead,Developer (incl. Software Engineer),1-2 years,US,50-100 commits,Male,MSc,3,Yes,Bug fixing;New feature;Refactoring,"Sometimes, when it is absolutely essential",Not effective project management;Outdated or incomplete documentation,"Sometimes, when it is absolutely essential",Experience and knowledge increased;Improve security,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably yes,Definetely yes,Definetely yes
Java,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,,Less than 10 commits,I prefer not to answer,MSc,18,Yes,Bug fixing;New feature;Refactoring;docs,"Sometimes, when it is absolutely essential",Lack of experience;I am not aware that I introduce technical debt,On a regular basis,Improve collaboration,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes,Definetely yes
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance);System Administrator,System Administrator,1-2 years,Netherlands,Less than 10 commits,Male,BSc,20+,Yes,Bug fixing;New feature,Almost never,Deadline;Lack of well-defined process;Team overload,"Sometimes, when it is absolutely essential",Prepare for new features,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes,I am not sure,I am not sure,I am not sure
Python,Developer (incl. Software Engineer),Software Architect,Less than 1 year,India,Less than 10 commits,Male,Bachelor of engineering,5,Yes,"Bug fixing, Refactoring","Sometimes, when it is absolutely essential",Deadline,On a regular basis,Achieve new requirements,Definetely not,Definetely yes,Definetely not,Definetely not,Definetely yes,I am not sure,Definetely not,Probably not,Probably not,Probably not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,UAA,Less than 10 commits,Male,PhD,15,Yes,Bug fixing,"Sometimes, when it is absolutely essential",Deadline;Team overload,On a regular basis,Sense of responsibility;Improve collaboration;Avoid higher cost,Probably yes,Definetely yes,Probably not,Probably not,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),Less than 1 year,Spain,100-200 commits,Male,Still a student,0,Somewhat,Bug fixing;New feature;Refactoring,I don't know,Deadline;Inappropriate planning;Non-adoption of good practice;Not effective project management;Lack of experience;Lack of commitment to the project,"Sometimes, when it is absolutely essential",Prepare for new features,Probably yes,Probably yes,Probably yes,Definetely yes,Definetely yes,Probably yes,Definetely yes,Definetely yes,Definetely yes,I am not sure
Python,Developer (incl. Software Engineer),Developer (incl. Software Engineer),1-2 years,India,Less than 10 commits,Male,MSc,2.5,Yes,Bug fixing,Almost never,I am not aware that I introduce technical debt,Almost never,,Probably not,Probably not,Probably yes,Probably yes,I am not sure,Definetely not,Definetely not,Definetely not,Definetely not,Definetely not
Python,Developer (incl. Software Engineer);Tester (incl. Quality Assurance),Developer (incl. Software Engineer),1-2 years,,10-30 commits,Male,,3,Yes,New feature,"Sometimes, when it is absolutely essential",Deadline;Inappropriate planning;Lack of experience,"Sometimes, when it is absolutely essential",TD overload,Probably yes,Probably not,Probably yes,Definetely yes,Definetely yes,Definetely yes,Probably not,Probably yes,Probably not,Definetely not
Python,Developer (incl. Software Engineer);Team Lead;Software Architect,Software Architect,1-2 years,Usa,30-50 commits,Male,High schoo diploma,8,Somewhat,Bug fixing;New feature,Always,TD introduction is inevitable,On a regular basis,Sense of responsibility,Probably not,Probably not,Probably yes,Definetely yes,Definetely yes,Probably yes,Probably yes,Probably yes,Probably yes,Probably yes
